k,energy,band_localization,special_points
0.3794,-61.0125,6.09859E-06,
0.3877,-61.0115,5.67779E-06,
0.3959,-61.0115,5.29118E-06,
0.4041,-61.0105,4.94198E-06,
0.4124,-61.0105,4.62857E-06,
0.4206,-61.0095,4.35067E-06,
0.4289,-61.0095,4.10837E-06,
0.4371,-61.0085,3.90046E-06,
0.4454,-61.0085,3.72486E-06,
0.4536,-61.0085,3.57926E-06,
0.4619,-61.0075,3.46346E-06,
0.4701,-61.0075,3.37246E-06,
0.4784,-61.0075,3.30436E-06,
0.4866,-61.0065,3.25615E-06,
0.4949,-61.0065,3.22565E-06,
0.5031,-61.0065,3.20905E-06,
0.5114,-61.0055,3.20375E-06,
0.5196,-61.0055,3.20735E-06,
0.5279,-61.0055,3.21676E-06,
0.5361,-61.0055,3.23066E-06,
0.5444,-61.0055,3.24706E-06,
0.5526,-61.0055,3.26406E-06,
0.5609,-61.0055,3.28046E-06,
0.5691,-61.0055,3.29576E-06,
0.5774,-61.0055,3.30926E-06,
0.5857,-61.0055,3.30286E-06,
0.594,-61.0055,3.28666E-06,
0.6024,-61.0055,3.26086E-06,
0.6107,-61.0045,3.22606E-06,
0.619,-61.0045,3.18186E-06,
0.6274,-61.0045,3.12905E-06,
0.6357,-61.0045,3.06815E-06,
0.644,-61.0045,2.99935E-06,
0.6524,-61.0045,2.92435E-06,
0.6607,-61.0045,2.84265E-06,
0.669,-61.0045,2.75645E-06,
0.6774,-61.0045,2.66565E-06,
0.6857,-61.0045,2.57184E-06,
0.694,-61.0045,2.47524E-06,
0.7024,-61.0045,2.37684E-06,
0.7107,-61.0035,2.27854E-06,
0.719,-61.0035,2.17994E-06,
0.7274,-61.0035,2.08294E-06,
0.7357,-61.0035,1.98743E-06,
0.744,-61.0035,1.89473E-06,
0.7524,-61.0035,1.80533E-06,
0.7607,-61.0035,1.72023E-06,
0.769,-61.0035,1.63963E-06,
0.7774,-61.0025,1.56433E-06,
0.7857,-61.0025,1.49443E-06,
0.794,-61.0025,1.42962E-06,
0.8024,-61.0025,1.37182E-06,
0.8107,-61.0025,1.32012E-06,
0.819,-61.0025,1.27392E-06,
0.8274,-61.0025,1.23362E-06,
0.8357,-61.0025,1.19882E-06,
0.844,-61.0025,1.17022E-06,
0.8524,-61.0015,1.14652E-06,
0.8607,-61.0015,1.12782E-06,
0.869,-61.0015,1.11352E-06,
0.8774,-61.0015,1.10242E-06,
0.8857,-61.0015,1.09532E-06,
0.894,-61.0015,1.09052E-06,
0.9024,-61.0015,1.08822E-06,
0.9107,-61.0015,1.08802E-06,
0.919,-61.0015,1.08822E-06,
0.9274,-61.0015,1.08912E-06,
0.9357,-61.0015,1.09102E-06,
0.944,-61.0015,1.09302E-06,
0.9524,-61.0015,1.09422E-06,
0.9607,-61.0015,1.09532E-06,
0.969,-61.0025,1.09572E-06,
0.9774,-61.0025,1.09652E-06,
0.9857,-61.0025,1.09692E-06,
0.994,-61.0025,1.09782E-06,
1.0024,-61.0025,1.09962E-06,
1.0107,-61.0025,1.10392E-06,
1.019,-61.0035,1.11072E-06,
1.0274,-61.0035,1.12182E-06,
1.0357,-61.0035,1.13812E-06,
1.044,-61.0035,1.16232E-06,
1.0524,-61.0045,1.19542E-06,
1.0607,-61.0045,1.24002E-06,
1.069,-61.0045,1.29852E-06,
1.0774,-61.0055,1.37232E-06,
1.0857,-61.0055,1.46422E-06,
1.094,-61.0055,1.57673E-06,
1.1024,-61.0065,1.71283E-06,
1.1107,-61.0065,1.87393E-06,
1.119,-61.0075,2.06183E-06,
1.1274,-61.0075,2.27994E-06,
1.1357,-61.0085,2.52804E-06,
1.144,-61.0085,2.80904E-06,
1.1524,-61.0095,3.12265E-06,
1.1607,-61.0095,3.47075E-06,
1.169,-61.0105,3.85256E-06,
1.1774,-61.0105,4.26827E-06,
1.1857,-61.0115,4.71787E-06,
1.194,-61.0115,5.20048E-06,
1.2024,-61.0125,5.71539E-06,
1.2107,-61.0125,6.25989E-06,
1.219,-61.0135,6.8336E-06,
1.2274,-61.0145,7.43341E-06,
1.2357,-61.0145,8.05892E-06,
1.244,-61.0155,8.70652E-06,
1.2524,-61.0165,9.37503E-06,
1.2607,-61.0165,1.00605E-05,
1.269,-61.0175,1.0761E-05,
1.2774,-61.0175,1.14748E-05,
1.2857,-61.0185,1.2198E-05,
1.294,-61.0195,1.29281E-05,
1.3024,-61.0195,1.3664E-05,
1.3107,-61.0205,1.44018E-05,
1.319,-61.0215,1.51393E-05,
1.3274,-61.0215,1.58749E-05,
1.3357,-61.0225,1.66058E-05,
1.344,-61.0225,1.73292E-05,
1.3524,-61.0235,1.80437E-05,
1.3607,-61.0245,1.87475E-05,
1.369,-61.0245,1.94385E-05,
1.3774,-61.0255,2.01149E-05,
1.3857,-61.0255,2.07749E-05,
1.394,-61.0265,2.14173E-05,
1.4024,-61.0265,2.20402E-05,
1.4107,-61.0275,2.26429E-05,
1.419,-61.0275,2.32234E-05,
1.4274,-61.0285,2.37806E-05,
1.4357,-61.0285,2.43147E-05,
1.444,-61.0295,2.48227E-05,
1.4524,-61.0295,2.53058E-05,
1.4607,-61.0295,2.57612E-05,
1.469,-61.0305,2.61898E-05,
1.4774,-61.0305,2.659E-05,
1.4857,-61.0305,2.69614E-05,
1.494,-61.0315,2.73041E-05,
1.5024,-61.0315,2.76172E-05,
1.5107,-61.0315,2.79E-05,
1.519,-61.0315,2.81525E-05,
1.5274,-61.0325,2.83747E-05,
1.5357,-61.0325,2.85661E-05,
1.544,-61.0325,2.87271E-05,
1.5524,-61.0325,2.88568E-05,
1.5607,-61.0325,2.89545E-05,
1.569,-61.0325,2.90216E-05,
1.5774,-61.0325,2.90581E-05,
,,,
,,,
0,-61.0325,2.90581E-05,
0.0082,-61.0325,2.90625E-05,
0.0165,-61.0325,2.90369E-05,
0.0247,-61.0325,2.89803E-05,
0.033,-61.0325,2.88934E-05,
0.0412,-61.0325,2.87758E-05,
0.0495,-61.0325,2.86283E-05,
0.0577,-61.0315,2.84507E-05,
0.066,-61.0315,2.82423E-05,
0.0742,-61.0315,2.80043E-05,
0.0825,-61.0315,2.77365E-05,
0.0907,-61.0305,2.74391E-05,
